t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651239131,1182,1753,24.501946,0,83.873293,7.000000,16.000000,88.650000,197.100000,410.170000,1730.467000
1651239161,1183,1753,24.491245,0,83.874953,7.000000,16.000000,88.650000,197.100000,410.170000,1730.467000
1651239191,1185,1753,24.496109,0,83.874001,7.000000,16.000000,88.650000,197.100000,410.170000,1730.467000
1651239221,1189,1753,24.580739,0,83.897352,7.000000,16.000000,90.550000,197.100000,410.170000,1730.467000
1651239251,1196,1753,23.954280,0,81.511457,7.000000,16.000000,88.650000,183.980000,374.180000,1730.467000
1651239281,1197,1753,23.974708,0,81.510086,7.000000,16.000000,88.650000,183.980000,374.180000,1730.467000
1651239311,1202,1753,23.999027,0,81.509392,7.500000,16.000000,88.650000,183.980000,374.180000,1730.467000
1651239341,1211,1753,23.871595,0,81.466542,8.000000,16.000000,88.200000,183.980000,374.180000,1730.467000
1651239371,1213,1753,23.871595,0,81.466542,8.000000,16.000000,88.200000,183.980000,374.180000,1730.467000
1651239401,1214,1753,23.882296,0,81.464915,8.000000,16.000000,88.200000,183.980000,374.180000,1730.467000
1651239431,1216,1753,23.881323,0,81.465051,8.000000,16.000000,88.200000,183.980000,374.180000,1730.467000
1651239461,1217,1753,23.892023,0,81.463291,8.000000,16.000000,88.200000,183.980000,374.180000,1730.467000
1651239491,1219,1753,23.722763,0,81.327089,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239521,1220,1753,23.727626,0,81.326118,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239551,1222,1753,23.733463,0,81.324952,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239581,1223,1753,23.742218,0,81.323418,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239611,1225,1753,23.742218,0,81.323418,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239641,1226,1753,23.742218,0,81.323418,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239671,1228,1753,23.750000,0,81.321885,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239701,1229,1753,23.763619,0,81.319412,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239731,1231,1753,23.750000,0,81.319706,8.000000,16.000000,85.550000,182.240000,374.180000,1730.467000
1651239761,1234,1753,23.709144,0,81.289390,8.000000,16.000000,85.000000,182.240000,374.180000,1730.467000
1651239791,1237,1753,23.738327,0,81.286112,8.000000,16.000000,85.000000,182.240000,374.180000,1730.467000
1651239821,1250,1753,23.632296,0,81.247222,8.000000,16.000000,85.000000,182.240000,374.180000,1730.467000
1651239851,1253,1753,23.626459,0,81.248058,8.000000,16.000000,85.000000,182.240000,374.180000,1730.467000
1651239881,1256,1753,23.640078,0,81.245639,8.000000,16.000000,85.000000,182.240000,374.180000,1730.467000
1651239911,1272,1753,23.404669,0,81.220196,8.000000,16.000000,84.550000,182.240000,374.180000,1730.467000
1651239941,1285,1753,23.349222,0,81.212762,8.000000,16.000000,84.000000,182.240000,374.180000,1730.467000
1651239971,1291,1753,23.324903,0,81.112178,8.000000,16.000000,84.000000,182.240000,374.180000,1730.467000
1651240001,1292,1753,23.328794,0,81.111634,8.000000,16.000000,84.000000,182.240000,374.180000,1730.467000
1651240031,1302,1753,23.346304,0,81.109701,8.000000,16.000000,84.000000,182.240000,374.180000,1730.467000
1651240061,1308,1753,23.355058,0,81.117136,8.000000,16.000000,84.000000,182.240000,374.180000,1730.467000
1651240091,1313,1753,23.252918,0,81.041398,8.000000,16.000000,83.550000,182.240000,374.180000,1730.467000
1651240121,1325,1753,23.155642,0,81.032607,8.000000,16.000000,83.550000,182.240000,374.180000,1730.467000
1651240151,1335,1753,23.263619,0,81.081814,8.000000,16.000000,83.550000,182.240000,374.180000,1730.467000
1651240181,1349,976,21.603113,0,60.523697,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240211,1354,976,21.623541,0,60.519186,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240241,1355,976,21.625486,0,60.518780,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240271,1357,976,21.628405,0,60.518339,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240301,1358,976,21.622568,0,60.518882,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
1651240331,1360,976,21.635214,0,60.516088,8.000000,16.000000,82.100000,170.100000,323.720000,963.153000
