t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1651228596,699,30108,63.080114,1,1160.239505,5.000000,11.000000,22.000000,33.000000,216.000000,30108.000000
1651228626,702,30108,62.820513,1,1157.760954,5.000000,11.000000,22.000000,33.000000,215.940000,30108.000000
1651228656,708,30108,62.310734,1,1152.850989,5.000000,11.000000,22.000000,33.000000,215.820000,30108.000000
1651228686,711,30108,62.060478,1,1150.419247,5.000000,11.000000,22.000000,33.000000,215.760000,30108.000000
1651228717,717,30108,61.563459,1,1145.601710,5.000000,10.500000,22.000000,33.000000,215.640000,30108.000000
1651228747,720,30108,61.315278,1,1143.215670,5.000000,10.000000,21.950000,33.000000,215.580000,30108.000000
1651228777,726,30108,60.827824,1,1138.487835,5.000000,10.000000,21.650000,33.000000,215.460000,30108.000000
1651228807,729,30108,60.591221,1,1136.145605,5.000000,10.000000,21.500000,33.000000,215.400000,30108.000000
1651228837,735,30108,60.118367,1,1131.504458,5.000000,10.000000,21.200000,33.000000,215.280000,30108.000000
1651228867,738,30108,59.882114,1,1129.205247,4.500000,10.000000,21.050000,33.000000,215.220000,30108.000000
1651228897,744,30108,59.415323,1,1124.648561,4.000000,10.000000,21.000000,33.000000,215.100000,30108.000000
1651228927,747,30108,59.183400,1,1122.390876,4.000000,10.000000,21.000000,33.000000,215.040000,30108.000000
1651228957,753,30108,58.730412,1,1117.915728,4.000000,10.000000,21.000000,33.000000,214.920000,30108.000000
1651228987,756,30108,58.505291,1,1115.698201,4.000000,10.000000,21.000000,33.000000,214.860000,30108.000000
1651229017,762,30108,58.069554,1,1111.301993,4.000000,10.000000,21.000000,33.000000,214.740000,30108.000000
1651229047,765,30108,57.852288,1,1109.123385,4.000000,10.000000,21.000000,33.000000,214.680000,30108.000000
1651229077,771,30108,57.425422,1,1104.804209,4.000000,10.000000,21.000000,33.000000,214.560000,30108.000000
1651229107,774,30108,57.224806,1,1102.663005,4.000000,10.000000,21.000000,33.000000,214.500000,30108.000000
1651229137,780,30108,56.802564,1,1098.418825,4.000000,10.000000,21.000000,33.000000,214.380000,30108.000000
1651229167,783,30108,56.593870,1,1096.315030,4.000000,10.000000,21.000000,33.000000,214.320000,30108.000000
1651229197,789,30108,56.181242,1,1092.143454,4.000000,10.000000,21.000000,33.000000,214.200000,30108.000000
1651229227,792,30108,55.978535,1,1090.075383,4.000000,10.000000,21.000000,33.000000,214.140000,30108.000000
1651229257,798,30108,55.575188,1,1085.974362,4.000000,10.000000,21.000000,33.000000,214.020000,30108.000000
1651229287,801,30108,55.374532,1,1083.941194,4.000000,10.000000,20.900000,32.920000,211.960000,30108.000000
1651229317,807,30108,54.981413,1,1079.908703,4.000000,10.000000,20.600000,32.680000,205.840000,30108.000000
1651229347,810,30108,54.787654,1,1077.909232,4.000000,10.000000,20.450000,32.560000,202.780000,30108.000000
1651229377,816,30108,54.401961,1,1073.943503,4.000000,10.000000,20.150000,32.320000,196.660000,30108.000000
1651229407,819,30108,54.208791,1,1071.977100,4.000000,10.000000,20.000000,32.200000,193.600000,30108.000000
1651229437,825,30108,53.830303,1,1068.076308,4.000000,10.000000,19.700000,31.960000,187.480000,30108.000000
1651229467,828,30108,53.642512,1,1066.141841,4.000000,10.000000,19.550000,31.840000,184.420000,30108.000000
1651229497,834,30108,53.280576,1,1062.303786,4.000000,10.000000,19.250000,31.600000,178.300000,30108.000000
1651229527,837,30108,53.095579,1,1060.400517,4.000000,10.000000,19.100000,31.480000,175.240000,30108.000000
1651229557,843,30108,52.739027,1,1056.624020,4.000000,10.000000,19.000000,31.240000,169.120000,30108.000000
1651229587,846,30108,52.557920,1,1054.751063,4.000000,10.000000,19.000000,31.120000,166.060000,30108.000000
1651229617,852,30108,52.203052,1,1051.034667,4.000000,10.000000,19.000000,31.000000,159.940000,30108.000000
1651229647,855,30108,52.026901,1,1049.191167,4.000000,10.000000,19.000000,31.000000,156.880000,30108.000000
1651229677,861,30108,51.678281,1,1045.533085,4.000000,10.000000,19.000000,31.000000,150.760000,30108.000000
1651229707,864,30108,51.511574,1,1043.718064,4.000000,10.000000,19.000000,31.000000,147.700000,30108.000000
1651229737,870,30108,51.170115,1,1040.116736,4.000000,10.000000,19.000000,31.000000,141.580000,30108.000000
1651229767,873,30108,51.004582,1,1038.329834,4.000000,10.000000,19.000000,31.000000,138.520000,30108.000000
1651229797,882,30108,50.512472,1,1033.024013,4.000000,10.000000,19.000000,31.000000,129.340000,30108.000000
1651229827,885,30108,50.361582,1,1031.272918,4.000000,10.000000,19.000000,31.000000,126.280000,30108.000000
1651229857,891,30108,50.039282,1,1027.798302,4.000000,9.000000,19.000000,31.000000,120.160000,30108.000000
1651229887,894,30108,49.876957,1,1026.074243,4.000000,9.000000,19.000000,31.000000,117.100000,30108.000000
1651229917,906,30108,49.267108,1,1019.262529,3.000000,9.000000,18.650000,30.720000,109.200000,30108.000000
1651229947,909,30108,49.111111,1,1017.580947,3.000000,9.000000,18.500000,30.600000,108.000000,30108.000000
1651229977,915,30108,48.808743,1,1014.242319,3.000000,9.000000,18.200000,30.360000,105.600000,30108.000000
1651230007,918,30108,48.661220,1,1012.585176,3.000000,9.000000,18.050000,30.240000,104.400000,30108.000000
1651230037,924,30108,48.361472,1,1009.295455,3.000000,9.000000,18.000000,30.000000,102.000000,30108.000000
1651230067,927,30108,48.211435,1,1007.662644,3.000000,9.000000,18.000000,29.880000,100.800000,30108.000000
1651230097,933,30108,47.914255,1,1004.420658,3.000000,9.000000,18.000000,29.640000,98.400000,30108.000000
1651230127,936,30108,47.767094,1,1002.811356,3.000000,9.000000,18.000000,29.520000,97.200000,30108.000000
1651230157,942,30108,47.474522,1,999.615869,3.000000,9.000000,18.000000,29.280000,94.800000,30108.000000
1651230187,945,30108,47.332275,1,998.029421,3.000000,9.000000,18.000000,29.160000,93.600000,30108.000000
1651230217,951,30108,47.045216,1,994.879287,3.000000,9.000000,18.000000,28.920000,91.200000,30108.000000
1651230247,954,30108,46.902516,1,993.315388,3.000000,9.000000,18.000000,28.800000,90.000000,30108.000000
1651230277,960,30108,46.621875,1,990.209496,3.000000,9.000000,18.000000,28.560000,87.600000,30108.000000
1651230307,963,30108,46.482866,1,988.667436,3.000000,9.000000,18.000000,28.440000,86.400000,30108.000000
1651230337,969,30108,46.209494,1,985.604714,3.000000,9.000000,18.000000,28.200000,84.000000,30108.000000
1651230367,972,30108,46.072016,1,984.084080,3.000000,9.000000,18.000000,28.080000,82.800000,30108.000000
1651230397,978,30108,45.803681,1,981.063625,3.000000,9.000000,18.000000,27.840000,80.400000,30108.000000
1651230427,981,30108,45.670744,1,979.563790,3.000000,9.000000,18.000000,27.720000,79.200000,30108.000000
1651230457,987,30108,45.405268,1,976.584732,3.000000,9.000000,18.000000,27.480000,76.800000,30108.000000
1651230487,990,30108,45.273737,1,975.105359,3.000000,9.000000,18.000000,27.360000,75.600000,30108.000000
1651230517,996,30108,45.013052,1,972.166671,3.000000,9.000000,18.000000,27.120000,73.200000,30108.000000
1651230547,999,30108,44.885886,1,970.707172,3.000000,9.000000,18.000000,27.000000,72.000000,30108.000000
1651230577,1005,30108,44.629851,1,967.807952,3.000000,9.000000,18.000000,27.000000,70.620000,29962.044000
1651230607,1008,30108,44.501984,1,966.368093,3.000000,9.000000,18.000000,27.000000,69.930000,29889.066000
1651230637,1014,30108,44.251479,1,963.507420,3.000000,9.000000,18.000000,27.000000,68.550000,29743.110000
1651230667,1017,30108,44.127827,1,962.086556,3.000000,9.000000,18.000000,27.000000,67.860000,29670.132000
1651230697,1023,30108,43.879765,1,959.263712,3.000000,9.000000,17.800000,27.000000,66.480000,29524.176000
1651230727,1026,30108,43.757310,1,957.861555,3.000000,8.250000,17.650000,27.000000,65.790000,29451.198000
1651230757,1032,30108,43.646887,1,956.931200,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230787,1035,30108,43.622568,1,956.932087,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230817,1041,30108,43.552529,1,956.934457,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230847,1044,30108,43.540856,1,956.934929,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230877,1050,30108,43.487354,1,956.936803,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230907,1053,30108,43.487354,1,956.936803,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230937,1059,30108,43.453307,1,956.937981,3.000000,8.000000,17.000000,27.000000,65.330000,29402.546000
1651230967,1062,30108,43.420233,1,956.939100,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651230997,1068,30108,43.381323,1,956.940570,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231027,1071,30108,43.358949,1,956.941426,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231057,1077,30108,43.326848,1,956.942626,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231087,1080,30108,43.326848,1,956.942626,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231117,1086,30108,43.314202,1,956.943122,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231147,1089,30108,43.302529,1,956.943553,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231177,1095,30108,43.279183,1,956.944356,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231207,1098,30108,43.268482,1,956.944784,3.000000,8.000000,16.000000,27.000000,65.330000,29402.546000
1651231237,1104,30108,43.250000,1,956.945484,3.000000,7.750000,16.000000,27.000000,65.330000,29402.546000
1651231267,1107,30108,43.240272,1,956.945879,3.000000,7.000000,16.000000,27.000000,65.330000,29402.546000
1651231297,1113,30108,43.217899,1,956.946751,3.000000,7.000000,16.000000,27.000000,65.330000,29402.546000
1651231328,1116,30108,43.205253,1,956.947234,3.000000,7.000000,16.000000,27.000000,65.330000,29402.546000
1651231358,1122,30108,43.166342,1,956.948541,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231388,1125,30108,43.165370,1,956.948583,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231418,1131,30108,43.146887,1,956.949317,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231448,1134,30108,43.138132,1,956.949652,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231478,1140,30108,43.130350,1,956.949981,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231508,1143,30108,43.134241,1,956.949816,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231538,1149,30108,43.136187,1,956.949736,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231568,1152,30108,43.135214,1,956.949766,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231598,1158,30108,43.119650,1,956.950402,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231628,1161,30108,43.119650,1,956.950402,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231658,1167,30108,43.099222,1,956.951188,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231688,1170,30108,43.082685,1,956.951807,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231718,1176,30108,43.075875,1,956.952075,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231748,1179,30108,43.067121,1,956.952392,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231778,1185,30108,43.059339,1,956.952631,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231808,1188,30108,43.060311,1,956.952590,3.000000,7.000000,16.000000,26.420000,65.330000,29402.546000
1651231838,1194,30108,43.012646,1,956.953510,3.000000,7.000000,16.000000,26.000000,64.460000,29402.546000
1651231868,1197,30108,42.977626,1,956.954601,3.000000,7.000000,16.000000,25.420000,64.460000,29402.546000
